country,year,co2,co2_per_capita,co2_5yr_rolling_mean,co2_lag1,co2_lag2,co2_lag3,co2_yoy_pct_change,ghg_intensity
United Kingdom,2005,570.33837890625,9.412128448486328,570.7261352539062,573.4297485351562,571.6187744140625,560.273193359375,-0.539101718528423,3.307073515576382e-10
United Kingdom,2006,567.8456420898438,9.301154136657717,568.7011474609375,570.33837890625,573.4297485351562,571.6187744140625,-0.43706278739064075,3.1445783081948304e-10
United Kingdom,2007,559.5664672851562,9.093339920043944,568.5598022460938,567.8456420898438,570.33837890625,573.4297485351562,-1.4579974188439038,2.9876818366522794e-10
United Kingdom,2008,544.9324340820312,8.785364151000977,563.2225341796875,559.5664672851562,567.8456420898438,570.33837890625,-2.615244847341336,2.8986115867607894e-10
United Kingdom,2009,494.1076965332031,7.90493631362915,547.3581237792969,544.9324340820312,559.5664672851562,567.8456420898438,-9.32679619895358,2.766174338835284e-10
United Kingdom,2010,511.9045715332031,8.1246337890625,535.6713623046875,494.1076965332031,544.9324340820312,559.5664672851562,3.601821045263587,2.778523545219626e-10
United Kingdom,2011,469.71331787109375,7.395978450775146,516.0448974609375,511.9045715332031,494.1076965332031,544.9324340820312,-8.242015408407577,2.544056376605885e-10
United Kingdom,2012,487.4767761230469,7.621530055999756,501.6269592285156,469.71331787109375,511.9045715332031,494.1076965332031,3.7817659359677958,2.59352029124755e-10
United Kingdom,2013,477.61126708984375,7.417546272277832,488.1627258300781,487.4767761230469,469.71331787109375,511.9045715332031,-2.0237905714533766,2.4898206239887773e-10
United Kingdom,2014,438.80706787109375,6.764832973480225,477.10260009765625,477.61126708984375,487.4767761230469,469.71331787109375,-8.12464066335573,2.2400665291377323e-10
United Kingdom,2015,422.4607849121094,6.4614129066467285,459.2138427734375,438.80706787109375,477.61126708984375,487.4767761230469,-3.725164008476345,2.1379974178398653e-10
United Kingdom,2016,399.4301452636719,6.061766147613525,445.15720825195314,422.4607849121094,438.80706787109375,477.61126708984375,-5.451544964872634,1.9933239069404485e-10
United Kingdom,2017,387.36712646484375,5.837845325469971,425.1352783203125,399.4301452636719,422.4607849121094,438.80706787109375,-3.0200571844333557,1.8816436496325034e-10
